,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME
617,2004,12180,Martin,Iti,Martin Iti,C-PF,80.5,6' 8.5'',81.75,6' 9.75'',233.0,89.0,7' 5'',111.5,9' 3.5'',10.5,,,26.5,32.5,12.28,,3.41,13.0,martin-iti
618,2013,203470,Colton,Iverson,Colton Iverson,C,82.5,6' 10.5'',84.0,7' 0'',262.8,86.0,7' 2'',110.0,9' 2'',9.6,9.25,9.5,26.5,30.0,11.52,3.04,3.52,12.0,colton-iverson
619,2017,1628411,Wesley,Iwundu,Wesley Iwundu,SG-SF,77.5,6' 5.5'',78.75,6' 6.75'',193.4,85.0,7' 1'',105.5,8' 9.5'',4.0,8.75,9.5,31.5,36.0,11.25,3.23,3.36,5.0,wesley-iwundu
620,2000,12141,Jacob,Jaacks,Jacob Jaacks,PF,81.25,6' 9.25'',,,238.0,83.0,6' 11'',105.5,8' 9.5'',,,,26.0,32.0,11.48,,3.58,3.0,jacob-jaacks
621,2005,101127,Jarrett,Jack,Jarrett Jack,PG,74.5,6' 2.5'',75.5,6' 3.5'',197.6,79.5,6' 7.5'',100.0,8' 4'',,,,26.0,28.5,10.87,,3.24,5.0,jarrett-jack
622,2003,12086,Robert,Jackson,Robert Jackson,PF-C,79.75,6' 7.75'',,,254.0,84.0,7' 0'',107.5,8' 11.5'',15.9,,,23.5,26.0,11.26,,3.25,15.0,robert-jackson
623,2004,2739,Luke,Jackson,Luke Jackson,SF-SG,78.0,6' 6'',79.0,6' 7'',212.0,80.5,6' 8.5'',103.0,8' 7'',8.0,,,26.5,36.0,11.1,,3.24,13.0,luke-jackson
624,2008,201616,Darnell,Jackson,Darnell Jackson,PF,79.0,6' 7'',79.75,6' 7.75'',240.5,83.25,6' 11.25'',106.5,8' 10.5'',12.5,,,27.0,31.0,11.75,,3.26,11.0,darnell-jackson
625,2011,12417,Rick,Jackson,Rick Jackson,PF,80.25,6' 8.25'',81.25,6' 9.25'',241.8,86.0,7' 2'',106.5,8' 10.5'',8.3,8.75,9.5,28.5,33.0,11.51,,3.26,9.0,rick-jackson
626,2013,203510,Pierre,Jackson,Pierre Jackson,PG,69.5,5' 9.5'',70.5,5' 10.5'',176.0,70.0,5' 10'',90.0,7' 6'',4.5,7.5,8.25,,,,,,,pierre-jackson
